strategy,symbol,asset_class,period,bars,total_return_pct,cagr_pct,sharpe,sortino,calmar,max_drawdown_pct,max_dd_duration_days,volatility_ann_pct,var_95_pct,total_trades,win_rate,avg_win_pct,avg_loss_pct,profit_factor,expectancy_usd,avg_hold_hours,alpha_vs_spy_pct,info_ratio,commission_usd,cost_drag_pct
ma_cross_50_200,GOOGL,EQUITY_US,2021-08-12 to 2026-08-12,1255,13.47,2.56,0.328,0.519,0.274,-9.33,1328,8.84,0.0,7,0.571,36.29,-6.08,7.952,90639.14,6257.1,-11.02,-0.547,8798.54,0.88
ma_cross_50_200,META,EQUITY_US,2021-08-12 to 2026-08-12,1255,90.77,13.79,0.368,1.292,0.536,-25.71,1568,70.99,0.002,6,0.333,116.79,-15.01,3.89,144618.45,7300.0,12.24,0.167,7541.6,0.754
ma_cross_50_200,TSLA,EQUITY_US,2021-08-12 to 2026-08-12,1255,24.22,4.43,0.347,0.399,0.233,-19.06,970,16.04,0.002,12,0.417,24.58,-10.81,1.625,19691.16,3594.0,-8.35,-0.354,15083.21,1.508
ma_cross_50_200,JPM,EQUITY_US,2021-08-12 to 2026-08-12,1255,-9.51,-1.98,-0.559,-0.354,-0.208,-9.54,1771,3.49,0.001,5,0.4,99.13,-7.78,8.495,174929.89,8500.8,-15.86,-0.899,6284.67,0.628
ma_cross_50_200,RELIANCE.NS,EQUITY_IN,2021-08-12 to 2026-08-13,1240,17.33,3.25,0.681,1.06,0.811,-4.01,424,4.95,0.002,8,0.625,9.55,-5.22,3.047,20047.36,5478.0,0.0,0.0,12744.27,1.274
ma_cross_50_200,HDFCBANK.NS,EQUITY_IN,2021-08-12 to 2026-08-13,1240,12.43,2.37,0.434,0.48,0.383,-6.19,859,5.88,0.001,8,0.625,8.87,-12.59,1.174,4119.45,5478.0,0.0,0.0,12744.27,1.274
ma_cross_50_200,INFY.NS,EQUITY_IN,2021-08-12 to 2026-08-13,1240,-6.78,-1.39,-0.203,-0.122,-0.159,-8.78,1447,6.1,0.003,12,0.5,5.27,-9.01,0.585,-9344.44,3652.0,0.0,0.0,19116.41,1.912
ma_cross_50_200,TCS.NS,EQUITY_IN,2021-08-12 to 2026-08-13,1240,6.98,1.36,0.433,0.575,0.479,-2.84,761,3.29,0.005,6,0.667,5.17,-18.03,0.574,-12800.32,7304.0,0.0,0.0,9558.2,0.956
ma_cross_50_200,SPY,ETF,2021-08-12 to 2026-08-13,1256,15.9,2.99,0.378,0.63,0.342,-8.75,1341,8.77,0.001,11,0.636,12.92,-5.15,4.39,31743.93,3984.0,-10.73,-0.544,19173.37,1.917
ma_cross_50_200,QQQ,ETF,2021-08-12 to 2026-08-12,1255,21.01,3.89,0.363,0.803,0.404,-9.62,1335,12.42,0.001,9,0.556,21.16,-5.32,4.967,46936.62,4866.7,-9.41,-0.422,15687.31,1.569
ma_cross_50_200,GLD,ETF,2021-08-12 to 2026-08-12,1255,55.85,9.28,0.482,9.283,6.043,-1.54,508,22.45,0.0,6,0.667,31.23,-1.75,35.644,101183.29,7300.0,-3.09,-0.11,10458.2,1.046
ma_cross_50_200,TLT,ETF,2021-08-12 to 2026-08-12,1255,-19.34,-4.21,-0.585,-0.228,-0.217,-19.4,1719,6.93,0.0,10,0.3,2.27,-6.54,0.148,-19500.62,4380.0,-17.97,-0.983,17430.34,1.743
ma_cross_50_200,BTC-USD,CRYPTO,2021-08-14 to 2026-08-13,1826,100.69,14.96,0.343,0.923,0.471,-31.75,1479,48.21,0.246,8,0.5,69.48,-26.56,2.616,107297.36,5451.0,0.0,0.0,15944.27,1.594
ma_cross_50_200,ETH-USD,CRYPTO,2021-08-14 to 2026-08-13,1826,4.84,0.95,0.119,0.086,0.034,-28.17,1124,14.82,0.012,14,0.571,11.78,-19.25,0.816,-7605.48,3126.9,0.0,0.0,27902.48,2.79
ma_cross_50_200,EURUSD=X,FOREX,2021-08-12 to 2026-08-13,1301,-6.05,-1.24,-0.369,-0.232,-0.136,-9.14,1823,3.14,0.0,14,0.571,2.05,-3.76,0.726,-2205.34,3125.1,0.0,0.0,24402.48,2.44
ma_cross_50_200,GC=F,ETF,2021-08-12 to 2026-08-12,1257,58.08,9.59,0.483,12.18,7.665,-1.25,324,23.24,0.005,6,0.667,32.32,-0.95,68.056,106149.95,7300.0,-2.68,-0.092,10458.2,1.046
